ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,magnitude,0.6552428176144586,0.6726666666666665,0.00016636884746878107,0.9440425444461372,25
0.3,shap,magnitude,0.8380176230262788,0.7846666666666666,4.8661826769967125e-05,0.9402290311500248,25
0.5,shap,magnitude,0.7761136070176132,0.7726666666666665,5.021200078811402e-05,0.9541948762141378,25
0.1,shap,directional,0.6552428176144586,0.6726666666666665,0.00016636884746878107,0.9440425444461372,25
0.3,shap,directional,0.8380176230262788,0.7846666666666666,4.8661826769967125e-05,0.9402290311500248,25
0.5,shap,directional,0.7761136070176132,0.7726666666666665,5.021200078811402e-05,0.9541948762141378,25
0.1,pfi,magnitude,0.5296929430004567,0.582,0.0004226223710185687,0.8944347091839802,25
0.3,pfi,magnitude,0.6323258828129559,0.6699999999999998,0.00016161271545337094,0.8857795627137315,25
0.5,pfi,magnitude,0.5705189280718915,0.6679999999999999,0.00017758167345429781,0.9162039048061377,25
0.1,pfi,directional,0.2762555075140174,0.588,0.001252014236832574,0.7703314989666882,25
0.3,pfi,directional,0.3950133299472085,0.6953333333333332,0.0004820672645611632,0.7902719143436755,25
0.5,pfi,directional,0.33589267866966177,0.6719999999999999,0.0007203679748232353,0.8164006781396209,25
