class_ratio,repeat_id,fold_id,method,group_id,group_name,group_size,group_total,top_share,hhi,entropy_norm,max_member_value
0.1,0,0,shap,0,credit_amount+duration_months,2,0.5191922470006973,0.5303662296092745,0.5018442158013665,0.9973377209924238,0.275362034484127
0.1,0,0,shap,1,credit_history+existing_credits,2,0.2341807654979985,0.8985380739822529,0.8176651928269674,0.4736127332571658,0.2104203339942612
0.1,0,0,shap,2,housing+property,2,0.47089958146325656,0.7444084696963286,0.6194710001186023,0.8200207973405615,0.35054163681770445
0.1,0,0,shap,3,age_years,1,0.2754117953807348,1.0,1.0,,0.2754117953807348
0.1,0,0,shap,4,checking_status,1,0.4140036198254005,1.0,1.0,,0.4140036198254005
0.1,0,0,shap,5,employment_since,1,0.2184423669364418,1.0,1.0,,0.2184423669364418
0.1,0,0,shap,6,foreign_worker,1,0.0024834977161139,1.0,1.0,,0.0024834977161139
0.1,0,0,shap,7,installment_rate,1,0.1657780205047223,1.0,1.0,,0.1657780205047223
0.1,0,0,shap,8,job,1,0.0358769552480196,1.0,1.0,,0.0358769552480196
0.1,0,0,shap,9,other_debtors,1,0.052027694951766096,1.0,1.0,,0.052027694951766096
0.1,0,0,shap,10,other_installment_plans,1,0.0549609523301128,1.0,1.0,,0.0549609523301128
0.1,0,0,shap,11,people_liable,1,0.0185864196752081,1.0,1.0,,0.0185864196752081
0.1,0,0,shap,12,personal_status_sex,1,0.0242598502846433,1.0,1.0,,0.0242598502846433
0.1,0,0,shap,13,purpose,1,0.281690649412677,1.0,1.0,,0.281690649412677
0.1,0,0,shap,14,residence_since,1,0.1494856433247448,1.0,1.0,,0.1494856433247448
0.1,0,0,shap,15,savings_status,1,0.30225754552943535,1.0,1.0,,0.30225754552943535
0.1,0,0,shap,16,telephone,1,0.0052352599046192,1.0,1.0,,0.0052352599046192
0.1,0,0,pfi,0,credit_amount+duration_months,2,0.0533333333333332,0.6196428571428578,0.5286288265306126,0.9582938706007516,0.033047619047619
0.1,0,0,pfi,1,credit_history+existing_credits,2,0.021238095238095025,0.8856502242152468,0.7974521908745402,0.5128983630346315,0.018809523809523623
0.1,0,0,pfi,2,housing+property,2,0.0342619047619043,0.8658790826963207,0.7677350063094022,0.5686324639114857,0.029666666666666397
0.1,0,0,pfi,3,age_years,1,0.0002261904761905,1.0,1.0,,0.0002261904761905
0.1,0,0,pfi,4,checking_status,1,0.07236904761904739,1.0,1.0,,0.07236904761904739
0.1,0,0,pfi,5,employment_since,1,0.011476190476190359,1.0,1.0,,0.011476190476190359
0.1,0,0,pfi,6,foreign_worker,1,0.0001547619047618,1.0,1.0,,0.0001547619047618
0.1,0,0,pfi,7,installment_rate,1,0.0048809523809523,1.0,1.0,,0.0048809523809523
0.1,0,0,pfi,8,job,1,0.000952380952380839,1.0,1.0,,0.000952380952380839
0.1,0,0,pfi,9,other_debtors,1,0.0106071428571428,1.0,1.0,,0.0106071428571428
0.1,0,0,pfi,10,other_installment_plans,1,0.0031785714285713,1.0,1.0,,0.0031785714285713
0.1,0,0,pfi,11,people_liable,1,0.0004642857142857,1.0,1.0,,0.0004642857142857
0.1,0,0,pfi,12,personal_status_sex,1,0.0012619047619048,1.0,1.0,,0.0012619047619048
0.1,0,0,pfi,13,purpose,1,0.016035714285713897,1.0,1.0,,0.016035714285713897
0.1,0,0,pfi,14,residence_since,1,0.0043452380952381,1.0,1.0,,0.0043452380952381
0.1,0,0,pfi,15,savings_status,1,0.024857142857142717,1.0,1.0,,0.024857142857142717
0.1,0,0,pfi,16,telephone,1,0.0014761904761904,1.0,1.0,,0.0014761904761904
0.3,0,0,shap,0,credit_amount+duration_months,2,0.6823465471381496,0.6624919055427366,0.5528072387338193,0.922414137721344,0.4520490642540595
0.3,0,0,shap,1,credit_history+existing_credits,2,0.3899792331486516,0.9401499613592396,0.8874639769690802,0.32684934074322874,0.3666389609756107
0.3,0,0,shap,2,housing+property,2,0.286981895244418,0.5292040472492856,0.501705752751477,0.997537717833389,0.1518719804506165
0.3,0,0,shap,3,age_years,1,0.2228077809269569,1.0,1.0,,0.2228077809269569
0.3,0,0,shap,4,checking_status,1,0.7318669447277121,1.0,1.0,,0.7318669447277121
0.3,0,0,shap,5,employment_since,1,0.2452475827365412,1.0,1.0,,0.2452475827365412
