class_ratio,repeat_id,fold_id,tau,n_groups,agreement_spearman_raw,agreement_spearman_group,topk_overlap_raw,topk_overlap_group
0.1,0,0,0.5,17,0.77593984962406,0.8210784313725491,0.6,0.8
0.1,0,1,0.5,17,0.8586466165413533,0.9068627450980394,0.4,0.6
0.1,0,2,0.5,17,0.6947368421052631,0.9215686274509804,0.8,0.8
0.1,0,3,0.5,17,0.849624060150376,0.8970588235294119,0.6,0.6
0.1,0,4,0.5,17,0.8646616541353382,0.8700980392156864,0.8,0.8
0.1,1,0,0.5,17,0.6917293233082705,0.7156862745098039,0.6,0.8
0.1,1,1,0.5,17,0.8645598194130925,0.8993865030674847,0.8,0.8
0.1,1,2,0.5,17,0.9383458646616539,0.965686274509804,0.6,0.8
0.1,1,3,0.5,17,0.863157894736842,0.7965686274509804,0.8,0.8
0.1,1,4,0.5,17,0.8661654135338346,0.875,0.8,0.8
0.1,2,0,0.5,17,0.6285714285714286,0.7622549019607844,0.6,0.8
0.1,2,1,0.5,17,0.911211437170805,0.8848039215686275,1.0,0.8
0.1,2,2,0.5,17,0.806015037593985,0.8088235294117647,0.4,0.4
0.1,2,3,0.5,17,0.9744360902255638,0.9583333333333335,1.0,0.8
0.1,2,4,0.5,17,0.7924812030075187,0.7965686274509804,0.6,0.6
0.1,3,0,0.5,17,0.9052631578947368,0.8897058823529412,0.8,0.8
0.1,3,1,0.5,17,0.5744360902255639,0.6102941176470589,0.8,0.6
0.1,3,2,0.5,17,0.8721804511278194,0.8529411764705884,1.0,0.8
0.1,3,3,0.5,17,0.8075187969924811,0.9044117647058825,0.6,0.8
0.1,3,4,0.5,17,0.8947368421052632,0.9166666666666667,0.6,0.6
0.1,4,0,0.5,17,0.9127819548872179,0.9411764705882353,0.8,1.0
0.1,4,1,0.5,17,0.7639097744360903,0.8284313725490197,0.8,0.8
0.1,4,2,0.5,17,0.669172932330827,0.7181372549019608,0.8,1.0
0.1,4,3,0.5,17,0.8436090225563909,0.9362745098039217,0.8,1.0
0.1,4,4,0.5,17,0.8436090225563909,0.9264705882352943,0.6,0.8
0.3,0,0,0.5,17,0.8796992481203006,0.9044117647058825,0.8,0.8
0.3,0,1,0.5,17,0.8932330827067668,0.9068627450980394,1.0,1.0
0.3,0,2,0.5,17,0.8240601503759398,0.8333333333333335,0.6,0.6
0.3,0,3,0.5,17,0.7112781954887217,0.7573529411764707,0.6,0.6
0.3,0,4,0.5,17,0.7609022556390977,0.7696078431372549,1.0,1.0
0.3,1,0,0.5,17,0.7383458646616541,0.7769607843137256,0.4,0.8
0.3,1,1,0.5,17,0.9353383458646616,0.9534313725490198,0.8,0.8
0.3,1,2,0.5,17,0.8436090225563909,0.8259803921568629,0.8,0.8
0.3,1,3,0.5,17,0.8360902255639097,0.8406862745098039,0.8,0.8
0.3,1,4,0.5,17,0.9112781954887217,0.948529411764706,0.8,0.8
0.3,2,0,0.5,17,0.8330827067669173,0.8676470588235294,0.6,0.8
0.3,2,1,0.5,17,0.8962406015037594,0.9093137254901962,0.6,0.8
0.3,2,2,0.5,17,0.8781954887218045,0.8970588235294119,0.8,0.8
0.3,2,3,0.5,17,0.8736842105263156,0.8578431372549021,0.8,1.0
0.3,2,4,0.5,17,0.7864661654135338,0.8284313725490197,1.0,1.0
0.3,3,0,0.5,17,0.5789473684210527,0.6740196078431374,0.4,0.6
0.3,3,1,0.5,17,0.8781954887218045,0.8946078431372549,0.6,0.8
0.3,3,2,0.5,17,0.8285714285714285,0.8504901960784315,0.8,0.8
0.3,3,3,0.5,17,0.8691729323308269,0.8970588235294119,0.6,0.8
0.3,3,4,0.5,17,0.8090225563909773,0.8186274509803922,0.8,0.6
0.3,4,0,0.5,17,0.8270676691729323,0.8700980392156864,1.0,1.0
0.3,4,1,0.5,17,0.8947368421052632,0.9583333333333335,1.0,1.0
0.3,4,2,0.5,17,0.7548872180451127,0.7843137254901962,0.8,0.8
0.3,4,3,0.5,17,0.900751879699248,0.9191176470588237,1.0,0.8
0.3,4,4,0.5,17,0.8481203007518796,0.8455882352941178,1.0,0.8
0.5,0,0,0.5,17,0.8210526315789473,0.8480392156862745,0.8,0.8
0.5,0,1,0.5,17,0.8240601503759398,0.8651960784313727,1.0,1.0
0.5,0,2,0.5,17,0.7609022556390977,0.8504901960784315,0.6,0.8
0.5,0,3,0.5,17,0.7924812030075187,0.8578431372549021,0.6,0.6
0.5,0,4,0.5,17,0.8872180451127819,0.9068627450980394,0.8,0.8
0.5,1,0,0.5,17,0.806015037593985,0.8161764705882354,0.8,0.8
0.5,1,1,0.5,17,0.8165413533834586,0.8014705882352942,0.8,0.8
0.5,1,2,0.5,17,0.8977443609022555,0.875,0.8,0.8
0.5,1,3,0.5,17,0.9443609022556391,0.9411764705882353,0.8,0.8
0.5,1,4,0.5,17,0.6285714285714286,0.6544117647058824,0.8,0.8
0.5,2,0,0.5,17,0.900751879699248,0.8725490196078433,0.6,0.6
0.5,2,1,0.5,17,0.8902255639097743,0.9044117647058825,0.8,0.8
0.5,2,2,0.5,17,0.863157894736842,0.8823529411764707,0.8,0.8
0.5,2,3,0.5,17,0.9308270676691727,0.9534313725490198,0.8,1.0
0.5,2,4,0.5,17,0.8030075187969924,0.8431372549019609,1.0,1.0
0.5,3,0,0.5,17,0.6661654135338345,0.7745098039215688,0.4,0.6
0.5,3,1,0.5,17,0.849624060150376,0.8455882352941178,0.8,0.8
0.5,3,2,0.5,17,0.7804511278195487,0.7426470588235294,0.8,0.6
0.5,3,3,0.5,17,0.863157894736842,0.8676470588235294,0.6,0.6
0.5,3,4,0.5,17,0.8586466165413533,0.8357843137254902,0.8,0.6
0.5,4,0,0.5,17,0.8630549285176823,0.8308823529411766,1.0,0.8
0.5,4,1,0.5,17,0.7669172932330827,0.7230392156862746,0.8,0.6
0.5,4,2,0.5,17,0.8075187969924811,0.8700980392156864,1.0,1.0
0.5,4,3,0.5,17,0.9443609022556391,0.9681372549019608,0.6,0.8
0.5,4,4,0.5,17,0.837593984962406,0.7916666666666667,1.0,0.8
