class_ratio,repeat_id,fold_id,method,group_id,group_name,group_size,group_total,top_share,hhi,entropy_norm,max_member_value
0.1,0,0,shap,0,credit_amount+duration_months,2,0.9221091331692763,0.5461746407371627,0.5042641948944122,0.9938392928585024,0.503632624529186
0.1,0,0,shap,1,credit_history+existing_credits,2,0.4421148089372201,0.7147191200380976,0.5922086010198699,0.8625469731827167,0.3159879071994216
0.1,0,0,shap,2,housing+property,2,0.597438175267714,0.7953530288270199,0.674466823274589,0.7311252393248475,0.4751742622360643
0.1,0,0,shap,3,age_years,1,0.39153925028459624,1.0,1.0,,0.39153925028459624
0.1,0,0,shap,4,checking_status,1,0.46076718008927375,1.0,1.0,,0.46076718008927375
0.1,0,0,shap,5,employment_since,1,0.3064211073026641,1.0,1.0,,0.3064211073026641
0.1,0,0,shap,6,foreign_worker,1,0.0,,,,0.0
0.1,0,0,shap,7,installment_rate,1,0.3389629908904313,1.0,1.0,,0.3389629908904313
0.1,0,0,shap,8,job,1,0.037051694836607,1.0,1.0,,0.037051694836607
0.1,0,0,shap,9,other_debtors,1,0.0974321000216527,1.0,1.0,,0.0974321000216527
0.1,0,0,shap,10,other_installment_plans,1,0.0957446083886314,1.0,1.0,,0.0957446083886314
0.1,0,0,shap,11,people_liable,1,0.155422826804337,1.0,1.0,,0.155422826804337
0.1,0,0,shap,12,personal_status_sex,1,0.0796344746436457,1.0,1.0,,0.0796344746436457
0.1,0,0,shap,13,purpose,1,0.3974487176971739,1.0,1.0,,0.3974487176971739
0.1,0,0,shap,14,residence_since,1,0.2535385507372907,1.0,1.0,,0.2535385507372907
0.1,0,0,shap,15,savings_status,1,0.3930215915809849,1.0,1.0,,0.3930215915809849
0.1,0,0,shap,16,telephone,1,0.0451197900735306,1.0,1.0,,0.0451197900735306
0.1,0,0,pfi,0,credit_amount+duration_months,2,0.0370357142857141,0.6936676309868219,0.5750143025840957,0.8888943460334757,0.0256904761904761
0.1,0,0,pfi,1,credit_history+existing_credits,2,0.02097619047619,0.8496027241770732,0.7444441295040614,0.6108335953143661,0.0178214285714282
0.1,0,0,pfi,2,housing+property,2,0.03160714285714205,0.7954802259887006,0.6746171279006672,0.7308760573062723,0.025142857142856502
0.1,0,0,pfi,3,age_years,1,0.0024166666666666,1.0,1.0,,0.0024166666666666
0.1,0,0,pfi,4,checking_status,1,0.0414999999999998,1.0,1.0,,0.0414999999999998
0.1,0,0,pfi,5,employment_since,1,0.016869047619047,1.0,1.0,,0.016869047619047
0.1,0,0,pfi,6,foreign_worker,1,0.0,,,,0.0
0.1,0,0,pfi,7,installment_rate,1,0.0025476190476189002,1.0,1.0,,0.0025476190476189002
0.1,0,0,pfi,8,job,1,0.0005714285714283927,1.0,1.0,,0.0005714285714283927
0.1,0,0,pfi,9,other_debtors,1,0.006797619047618799,1.0,1.0,,0.006797619047618799
0.1,0,0,pfi,10,other_installment_plans,1,0.0020952380952378776,1.0,1.0,,0.0020952380952378776
