ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,magnitude,0.5431942696968609,0.45133333333333336,0.00011609263322625043,0.9519403891800171,25
0.3,shap,magnitude,0.6620810400577368,0.5806666666666668,4.789778797921667e-05,0.9551839025801637,25
0.5,shap,magnitude,0.5817944589060255,0.59,6.12080954517125e-05,0.9574302988503827,25
0.1,shap,directional,0.5431942696968609,0.45133333333333336,0.00011609263322625043,0.9519403891800171,25
0.3,shap,directional,0.6620810400577368,0.5806666666666668,4.789778797921667e-05,0.9551839025801637,25
0.5,shap,directional,0.5817944589060255,0.59,6.12080954517125e-05,0.9574302988503827,25
0.1,pfi,magnitude,0.4936204431179618,0.4,5.190529299825851e-05,0.9631271469773686,25
0.3,pfi,magnitude,0.5815652976905722,0.6693333333333332,2.3910372690661653e-05,0.9641745906539597,25
0.5,pfi,magnitude,0.5072079291623961,0.598,3.186869969364863e-05,0.9662496506735718,25
0.1,pfi,directional,0.3884475529307505,0.4,9.090016770704534e-05,0.9433405424055813,25
0.3,pfi,directional,0.46309864350981383,0.6693333333333332,5.955130553118781e-05,0.9356860002902694,25
0.5,pfi,directional,0.4275377796020945,0.598,6.15113123960728e-05,0.9457400018484047,25
