ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,magnitude,0.8097528644456194,0.7286666666666666,0.00010707625557814959,0.9424249938823376,25
0.3,shap,magnitude,0.9066576767142605,0.8986666666666667,1.4519644238624536e-05,0.9495391306319293,25
0.5,shap,magnitude,0.8306733650625769,0.844,4.125081934961289e-05,0.9503629658584005,25
0.1,shap,directional,0.8097528644456194,0.7286666666666666,0.00010707625557814959,0.9424249938823376,25
0.3,shap,directional,0.9066576767142605,0.8986666666666667,1.4519644238624536e-05,0.9495391306319293,25
0.5,shap,directional,0.8306733650625769,0.844,4.125081934961289e-05,0.9503629658584005,25
0.1,pfi,magnitude,0.643555036163415,0.6253333333333333,8.322045093590371e-05,0.95624825341877,25
0.3,pfi,magnitude,0.7597873711388473,0.7059999999999998,4.108952918087656e-05,0.9618992932663276,25
0.5,pfi,magnitude,0.6748267653561973,0.646,4.331069367202804e-05,0.9615987201736079,25
0.1,pfi,directional,0.5869289317060699,0.6253333333333333,0.0001553847027761429,0.9346756372271569,25
0.3,pfi,directional,0.6710383957536736,0.7059999999999998,8.777805455949002e-05,0.9442643107673496,25
0.5,pfi,directional,0.6383761791233731,0.646,8.350833321045879e-05,0.9460686829591178,25
