class_ratio,repeat_id,fold_id,method,group_id,group_name,group_size,group_total,top_share,hhi,entropy_norm,max_member_value
0.1,0,0,shap,0,credit_amount+duration_months,2,0.227013376868,0.6197661186032625,0.5286878463305815,0.9582070378931948,0.1406951994525
0.1,0,0,shap,1,credit_history+existing_credits,2,0.09095412846062462,0.7530321781410455,0.6280505663496037,0.8064367683589,0.06849138546562461
0.1,0,0,shap,2,housing+property,2,0.2016780840699997,0.6297065908059724,0.5336475993970159,0.9508971136781058,0.1269980187599998
0.1,0,0,shap,3,age_years,1,0.1299268424,1.0,1.0,,0.1299268424
0.1,0,0,shap,4,checking_status,1,0.1726785891024999,1.0,1.0,,0.1726785891024999
0.1,0,0,shap,5,employment_since,1,0.0685945559775,1.0,1.0,,0.0685945559775
0.1,0,0,shap,6,foreign_worker,1,0.0038377564274999,1.0,1.0,,0.0038377564274999
0.1,0,0,shap,7,installment_rate,1,0.0622520440099999,1.0,1.0,,0.0622520440099999
0.1,0,0,shap,8,job,1,0.030544159898750003,1.0,1.0,,0.030544159898750003
0.1,0,0,shap,9,other_debtors,1,0.00842253012,1.0,1.0,,0.00842253012
0.1,0,0,shap,10,other_installment_plans,1,0.0320402216897499,1.0,1.0,,0.0320402216897499
0.1,0,0,shap,11,people_liable,1,0.001098861043,1.0,1.0,,0.001098861043
0.1,0,0,shap,12,personal_status_sex,1,0.048148457708999795,1.0,1.0,,0.048148457708999795
0.1,0,0,shap,13,purpose,1,0.07822027242524968,1.0,1.0,,0.07822027242524968
0.1,0,0,shap,14,residence_since,1,0.07648546595625,1.0,1.0,,0.07648546595625
0.1,0,0,shap,15,savings_status,1,0.10430377022999979,1.0,1.0,,0.10430377022999979
0.1,0,0,shap,16,telephone,1,0.049432209082500005,1.0,1.0,,0.049432209082500005
0.1,0,0,pfi,0,credit_amount+duration_months,2,0.0410952380952379,0.7169756662804178,0.5941568795156624,0.8595390211770453,0.0294642857142856
0.1,0,0,pfi,1,credit_history+existing_credits,2,0.0203809523809521,0.8755841121495302,0.7821268505983019,0.5419223798813261,0.0178452380952378
0.1,0,0,pfi,2,housing+property,2,0.025571428571428616,0.5982309124767203,0.5192986243320182,0.9719760423309298,0.015297619047619018
0.1,0,0,pfi,3,age_years,1,0.003702380952381,1.0,1.0,,0.003702380952381
0.1,0,0,pfi,4,checking_status,1,0.07511904761904736,1.0,1.0,,0.07511904761904736
0.1,0,0,pfi,5,employment_since,1,0.0098214285714281,1.0,1.0,,0.0098214285714281
0.1,0,0,pfi,6,foreign_worker,1,0.0014642857142857,1.0,1.0,,0.0014642857142857
0.1,0,0,pfi,7,installment_rate,1,0.0027619047619046,1.0,1.0,,0.0027619047619046
0.1,0,0,pfi,8,job,1,0.001702380952380763,1.0,1.0,,0.001702380952380763
0.1,0,0,pfi,9,other_debtors,1,0.0024404761904760998,1.0,1.0,,0.0024404761904760998
0.1,0,0,pfi,10,other_installment_plans,1,0.0044047619047616,1.0,1.0,,0.0044047619047616
0.1,0,0,pfi,11,people_liable,1,8.333333333334635e-05,1.0,1.0,,8.333333333334635e-05
0.1,0,0,pfi,12,personal_status_sex,1,0.004083333333333191,1.0,1.0,,0.004083333333333191
0.1,0,0,pfi,13,purpose,1,0.0127619047619044,1.0,1.0,,0.0127619047619044
0.1,0,0,pfi,14,residence_since,1,0.0052976190476191,1.0,1.0,,0.0052976190476191
0.1,0,0,pfi,15,savings_status,1,0.0182142857142852,1.0,1.0,,0.0182142857142852
0.1,0,0,pfi,16,telephone,1,0.0051666666666663995,1.0,1.0,,0.0051666666666663995
0.3,0,0,shap,0,credit_amount+duration_months,2,0.29829998288464,0.6097976031408163,0.5241110273109364,0.9649300381036703,0.18190261458
0.3,0,0,shap,1,credit_history+existing_credits,2,0.1348055702497497,0.732989621750687,0.6085683276870565,0.8371419298362147,0.0988110839472497
0.3,0,0,shap,2,housing+property,2,0.1870795440312498,0.5208593827605926,0.5008702276983057,0.9987441623789228,0.09744213583124989
0.3,0,0,shap,3,age_years,1,0.0825776745075,1.0,1.0,,0.0825776745075
0.3,0,0,shap,4,checking_status,1,0.30491854156,1.0,1.0,,0.30491854156
0.3,0,0,shap,5,employment_since,1,0.0807804486999998,1.0,1.0,,0.0807804486999998
0.3,0,0,shap,6,foreign_worker,1,0.00645265818,1.0,1.0,,0.00645265818
0.3,0,0,shap,7,installment_rate,1,0.0719232373599999,1.0,1.0,,0.0719232373599999
0.3,0,0,shap,8,job,1,0.0156631175671249,1.0,1.0,,0.0156631175671249
0.3,0,0,shap,9,other_debtors,1,0.0129944506048749,1.0,1.0,,0.0129944506048749
0.3,0,0,shap,10,other_installment_plans,1,0.055830788475000004,1.0,1.0,,0.055830788475000004
0.3,0,0,shap,11,people_liable,1,0.0026189347324999,1.0,1.0,,0.0026189347324999
0.3,0,0,shap,12,personal_status_sex,1,0.0869779183879997,1.0,1.0,,0.0869779183879997
0.3,0,0,shap,13,purpose,1,0.1359439696324996,1.0,1.0,,0.1359439696324996
0.3,0,0,shap,14,residence_since,1,0.0184589314787499,1.0,1.0,,0.0184589314787499
0.3,0,0,shap,15,savings_status,1,0.1312962649599997,1.0,1.0,,0.1312962649599997
0.3,0,0,shap,16,telephone,1,0.0501102955,1.0,1.0,,0.0501102955
