class_ratio,repeat_id,fold_id,tau,n_groups,agreement_spearman_raw,agreement_spearman_group,topk_overlap_raw,topk_overlap_group
0.1,0,0,0.5,17,0.8406015037593983,0.8725490196078433,0.8,0.8
0.1,0,1,0.5,17,0.7368421052631579,0.8897058823529412,0.6,0.8
0.1,0,2,0.5,17,0.918796992481203,0.9338235294117647,0.6,0.6
0.1,0,3,0.5,17,0.7864661654135338,0.8578431372549021,0.6,0.8
0.1,0,4,0.5,17,0.801503759398496,0.8014705882352942,0.6,0.8
0.1,1,0,0.5,17,0.8225563909774435,0.8848039215686275,0.4,0.6
0.1,1,1,0.5,17,0.8736842105263156,0.8872549019607844,1.0,0.8
0.1,1,2,0.5,17,0.6977443609022556,0.8627450980392157,0.6,0.8
0.1,1,3,0.5,17,0.8165413533834586,0.8406862745098039,1.0,0.8
0.1,1,4,0.5,17,0.8451127819548873,0.8995098039215688,0.8,0.8
0.1,2,0,0.5,17,0.8406015037593983,0.8014705882352942,0.6,0.6
0.1,2,1,0.5,17,0.8872180451127819,0.877450980392157,1.0,0.6
0.1,2,2,0.5,17,0.8120300751879698,0.7990196078431374,0.6,0.6
0.1,2,3,0.5,17,0.78796992481203,0.8039215686274511,0.6,0.6
0.1,2,4,0.5,17,0.8706766917293233,0.9142156862745098,0.8,0.8
0.1,3,0,0.5,17,0.7157894736842104,0.8627450980392157,0.6,0.8
0.1,3,1,0.5,17,0.806015037593985,0.9215686274509804,0.8,0.8
0.1,3,2,0.5,17,0.9338345864661652,0.9362745098039217,0.6,0.8
0.1,3,3,0.5,17,0.7909774436090224,0.7916666666666667,0.6,0.8
0.1,3,4,0.5,17,0.7654135338345864,0.8039215686274511,0.6,0.6
0.1,4,0,0.5,17,0.8330827067669173,0.8700980392156864,0.8,0.8
0.1,4,1,0.5,17,0.8842105263157894,0.9142156862745098,0.8,0.8
0.1,4,2,0.5,17,0.6240601503759398,0.7916666666666667,0.4,0.8
0.1,4,3,0.5,17,0.7954887218045112,0.7745098039215688,0.6,0.4
0.1,4,4,0.5,17,0.7669172932330827,0.7965686274509804,0.8,0.8
0.3,0,0,0.5,17,0.883790961334563,0.9142156862745098,0.8,0.8
0.3,0,1,0.5,17,0.849624060150376,0.928921568627451,0.8,1.0
0.3,0,2,0.5,17,0.8451127819548873,0.9093137254901962,0.8,0.8
0.3,0,3,0.5,17,0.8917293233082706,0.8970588235294119,0.6,0.8
0.3,0,4,0.5,17,0.7548872180451127,0.7401960784313727,0.8,0.8
0.3,1,0,0.5,17,0.8105263157894737,0.8112745098039217,0.6,0.6
0.3,1,1,0.5,17,0.8992481203007519,0.9436274509803922,0.8,0.8
0.3,1,2,0.5,17,0.8225563909774435,0.8946078431372549,0.6,0.6
0.3,1,3,0.5,17,0.8390977443609022,0.8553921568627452,0.6,0.8
0.3,1,4,0.5,17,0.8616541353383457,0.9509803921568628,0.6,0.8
0.3,2,0,0.5,17,0.8451127819548873,0.911764705882353,0.6,0.8
0.3,2,1,0.5,17,0.9037593984962405,0.948529411764706,0.8,0.8
0.3,2,2,0.5,17,0.7052631578947368,0.6470588235294119,0.6,0.6
0.3,2,3,0.5,17,0.6796992481203006,0.8872549019607844,0.8,0.8
0.3,2,4,0.5,17,0.831578947368421,0.9191176470588237,0.6,0.8
0.3,3,0,0.5,17,0.8075187969924811,0.8627450980392157,0.8,0.8
0.3,3,1,0.5,17,0.8571428571428572,0.8823529411764707,0.6,0.8
0.3,3,2,0.5,17,0.7473684210526315,0.8039215686274511,0.6,0.6
0.3,3,3,0.5,17,0.8537044605231736,0.9049664484530323,0.6,0.6
0.3,3,4,0.5,17,0.8571428571428572,0.875,1.0,0.8
0.3,4,0,0.5,17,0.8947368421052632,0.9068627450980394,0.8,0.8
0.3,4,1,0.5,17,0.6736842105263157,0.8725490196078433,0.6,0.8
0.3,4,2,0.5,17,0.825563909774436,0.8700980392156864,0.4,0.6
0.3,4,3,0.5,17,0.9082706766917292,0.8921568627450982,0.8,0.8
0.3,4,4,0.5,17,0.8586466165413533,0.8578431372549021,0.8,0.6
0.5,0,0,0.5,17,0.8451127819548873,0.9019607843137255,0.8,1.0
0.5,0,1,0.5,17,0.8511278195488721,0.928921568627451,0.4,0.6
0.5,0,2,0.5,17,0.8601503759398496,0.911764705882353,0.8,0.8
0.5,0,3,0.5,17,0.8150375939849623,0.8872549019607844,0.6,0.8
0.5,0,4,0.5,17,0.7684210526315788,0.7671568627450981,0.6,0.8
0.5,1,0,0.5,17,0.806015037593985,0.7647058823529413,0.6,0.6
0.5,1,1,0.5,17,0.9293233082706768,0.9093137254901962,0.8,0.8
0.5,1,2,0.5,17,0.8120300751879698,0.7892156862745099,0.6,0.6
0.5,1,3,0.5,17,0.900751879699248,0.8848039215686275,0.8,0.6
0.5,1,4,0.5,17,0.819548872180451,0.8970588235294119,0.4,0.8
0.5,2,0,0.5,17,0.7819548872180451,0.8725490196078433,0.8,0.8
0.5,2,1,0.5,17,0.9052631578947368,0.9142156862745098,0.8,0.8
0.5,2,2,0.5,17,0.7218045112781954,0.7647058823529413,0.4,0.6
0.5,2,3,0.5,17,0.7022556390977444,0.8700980392156864,0.8,0.8
0.5,2,4,0.5,17,0.9308270676691727,0.9705882352941178,0.6,0.8
0.5,3,0,0.5,17,0.7503759398496239,0.8848039215686275,1.0,0.8
0.5,3,1,0.5,17,0.8902255639097743,0.931372549019608,0.6,0.8
0.5,3,2,0.5,17,0.837593984962406,0.8848039215686275,0.6,0.8
0.5,3,3,0.5,17,0.8436090225563909,0.8700980392156864,0.6,0.6
0.5,3,4,0.5,17,0.9458646616541352,0.928921568627451,0.8,0.8
0.5,4,0,0.5,17,0.8992481203007519,0.9191176470588237,0.6,0.6
0.5,4,1,0.5,17,0.9142857142857143,0.9166666666666667,0.8,0.8
0.5,4,2,0.5,17,0.9037593984962405,0.9411764705882353,0.6,0.8
0.5,4,3,0.5,17,0.8556390977443609,0.8602941176470589,0.8,0.8
0.5,4,4,0.5,17,0.882706766917293,0.9093137254901962,0.6,0.8
