ratio,method,variant,mean_rank_corr,mean_topk_overlap,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,magnitude,0.8175989776132557,0.7399999999999999,0.00011563285048142282,0.9396448996372464,25
0.3,shap,magnitude,0.9076874669487042,0.8846666666666666,1.4543755187626542e-05,0.9495494559115915,25
0.5,shap,magnitude,0.8278175568482283,0.8079999999999999,5.457790335840943e-05,0.9488325498733166,25
0.1,shap,directional,0.8175989776132557,0.7399999999999999,0.00011563285048142282,0.9396448996372464,25
0.3,shap,directional,0.9076874669487042,0.8846666666666666,1.4543755187626542e-05,0.9495494559115915,25
0.5,shap,directional,0.8278175568482283,0.8079999999999999,5.457790335840943e-05,0.9488325498733166,25
0.1,pfi,magnitude,0.6567790539563971,0.6306666666666666,9.315286428371586e-05,0.9537526646163399,25
0.3,pfi,magnitude,0.7641843743426029,0.6953333333333332,4.108653795185518e-05,0.9619007927175955,25
0.5,pfi,magnitude,0.6803495637072086,0.6713333333333332,4.700821015980026e-05,0.9608105845679431,25
0.1,pfi,directional,0.5850262491127074,0.6306666666666666,0.00017011302998144666,0.9329405101579753,25
0.3,pfi,directional,0.6674874032204211,0.6953333333333332,8.607430650542613e-05,0.9451536106050373,25
0.5,pfi,directional,0.6410949782680794,0.6713333333333332,9.002988991708261e-05,0.9453406886075605,25
